sku,attribute_set_code,product_type,categories,product_websites,name,product_online,price,special_price,special_price_from_date,special_price_to_date,description,short_description,url_key,meta_title,meta_keywords,meta_description,base_image,small_image,thumbnail_image,swatch_image,additional_images,additional_attributes,visibility,qty,total_qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,qty_2,qty_8
286170,Default,simple,Default Category/Shop by Category/Fruits and Vegetables,"base,mailpacshopclub",Assorted Pepper 1 kg / 2.2 lb,1,1953.85,,,,"Product of the region, this fun and tasty blend of peppers will add a touch of color and flavor to any dish. Including a variety of peppers in the rainbow colors of yellow, red and green, you can slice them thinly and create delicious dishes. Peppers can be cooked together in a variety of dishes, such as stir-fries, salads, fajitas and more. Bell pepper mix is a great way to add variety and nutrition to any meal.",Fruits and Vegetables,Assorted Pepper 1 kg / 2.2 lb-286170,Assorted Pepper 1 kg / 2.2 lb,Assorted Pepper 1 kg / 2.2 lb,Assorted Pepper 1 kg / 2.2 lb,W286170_1.jpg,W286170_1.jpg,W286170_1.jpg,W286170_1.jpg,"W286170_1.jpg,W286170_2.jpg,W286170_3.jpg","cost=1699.0,auto_service_parts=AIR FILTER,is_featured=0,webpos_visible=Yes","Catalog, Search",10000,10000,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,1,0,10000,10000
353889,Default,simple,Default Category/Shop by Category/Fruits and Vegetables,"base,mailpacshopclub",Irish Potato 3.18 kg / 7 lb,1,1528.35,,,,"Imported product, the Irish potato is a variety of potato and is characterized by a thick, rough skin and a soft, creamy flesh. Irish potatoes are very versatile and can be used in a wide variety of dishes, such as mashed potatoes, soups, stews, roasts and many others. They are also an excellent source of carbohydrates, fiber and potassium, making them a nutritious and healthy option to include in your daily diet. Irish potatoes are also very easy to cook and can be prepared in many different ways, depending on your tastes and preferences.",Fruits and Vegetables,Irish Potato 3.18 kg / 7 lb-353889,Irish Potato 3.18 kg / 7 lb,Irish Potato 3.18 kg / 7 lb,Irish Potato 3.18 kg / 7 lb,W353889_1.jpg,W353889_1.jpg,W353889_1.jpg,W353889_1.jpg,"W353889_1.jpg,W353889_2.jpg,W353889_3.jpg","cost=1329.0,auto_service_parts=AIR FILTER,is_featured=0,webpos_visible=Yes","Catalog, Search",10000,10000,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,1,0,10000,10000
128471,Default,simple,Default Category/Shop by Category/Fruits and Vegetables,"base,mailpacshopclub",Sweet Potato,1,2414.72,,,,"Local product | Sweet potato is a tuber with a soft texture that can be cooked, roasted, baked or even fried in different ways. It is an excellent source of vitamins, minerals and fiber, which is essential for the proper development of children and adults.",Fruits and Vegetables,Sweet Potato-128471,Sweet Potato,Sweet Potato,Sweet Potato,W128471_1.jpg,W128471_1.jpg,W128471_1.jpg,W128471_1.jpg,"W128471_1.jpg,W128471_2.jpg,W128471_3.jpg","cost=2099.754,auto_service_parts=AIR FILTER,is_featured=0,webpos_visible=Yes","Catalog, Search",10000,10000,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,1,0,10000,10000
132199,Default,simple,Default Category/Shop by Category/Fruits and Vegetables,"base,mailpacshopclub",Seedless Grapes Red Seedless,1,2985.33,,,,"Imported product, grapes are a great source of vitamins and therapeutic substances, a food with excellent health benefits, a good source of energy and a powerful antioxidant. Ideal for preparing cakes, jams, desserts or juices.",Fruits and Vegetables,Seedless Grapes Red Seedless-132199,Seedless Grapes Red Seedless,Seedless Grapes Red Seedless,Seedless Grapes Red Seedless,W132199_1.jpg,W132199_1.jpg,W132199_1.jpg,W132199_1.jpg,"W132199_1.jpg,W132199_2.jpg,W132199_3.jpg","cost=2595.94,auto_service_parts=AIR FILTER,is_featured=0,webpos_visible=Yes","Catalog, Search",10000,10000,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,1,0,10000,10000
445662,Default,simple,Default Category/Shop by Category/Fruits and Vegetables,"base,mailpacshopclub",Garlic 907 g / 2 lb,1,654.35,,,,"Imported product, characteristic for its powerful flavor and smell, and usually plays an important role in any type of diet. It is low in calories and provides a large amount of important nutrients and minerals for our body. Add it to soups, salads, seafood and much more.",Fruits and Vegetables,Garlic 907 g / 2 lb-445662,Garlic 907 g / 2 lb,Garlic 907 g / 2 lb,Garlic 907 g / 2 lb,W445662_1.jpg,W445662_1.jpg,W445662_1.jpg,W445662_1.jpg,"W445662_1.jpg,W445662_2.jpg,W445662_3.jpg","cost=569.0,auto_service_parts=AIR FILTER,is_featured=0,webpos_visible=Yes","Catalog, Search",10000,10000,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,1,0,10000,10000
431262,Default,simple,Default Category/Shop by Category/Grains and Pasta,"base,mailpacshopclub",Garofalo Organic Spaghetti 4 Units / 500 g / 1.1 lb,1,1493.85,,,,"The Garofalo organic spaghetti has the genuine and healthy taste of organic durum wheat semolina and the tradition of Italian master pasta makers. As the undisputed king of tradition, it is always perfect, with both elaborate sauces and simple condiments.",Grains and Pasta,Garofalo Organic Spaghetti 4 Units / 500 g / 1.1 lb-431262,Garofalo Organic Spaghetti 4 Units / 500 g / 1.1 lb,Garofalo Organic Spaghetti 4 Units / 500 g / 1.1 lb,Garofalo Organic Spaghetti 4 Units / 500 g / 1.1 lb,W431262_1.jpg,W431262_1.jpg,W431262_1.jpg,W431262_1.jpg,"W431262_1.jpg,W431262_2.jpg,W431262_3.jpg,W431262_4.jpg,W431262_5.jpg","cost=1299.0,auto_service_parts=AIR FILTER,is_featured=0,webpos_visible=Yes","Catalog, Search",10000,10000,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,1,0,10000,10000
311433,Default,simple,Default Category/Shop by Category/Fruits and Vegetables,"base,mailpacshopclub",Pink Lady Apples 1.36 kg / 3 lb,1,1608.85,,,,"Imported product, the pink lady apple is a pink apple with a smooth, shiny, crisp and sweet skin. This apple is known for its perfect balance of sweetness and tartness, and has a juicy, crisp texture that makes it popular with apple lovers. In addition, pink lady is rich in antioxidants, vitamins and minerals, making it a healthy and delicious choice for daily consumption.",Fruits and Vegetables,Pink Lady Apples 1.36 kg / 3 lb-311433,Pink Lady Apples 1.36 kg / 3 lb,Pink Lady Apples 1.36 kg / 3 lb,Pink Lady Apples 1.36 kg / 3 lb,W311433_1.jpg,W311433_1.jpg,W311433_1.jpg,W311433_1.jpg,"W311433_1.jpg,W311433_2.jpg,W311433_3.jpg","cost=1399.0,auto_service_parts=AIR FILTER,is_featured=0,webpos_visible=Yes","Catalog, Search",10000,10000,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,1,0,10000,10000
215254,Default,simple,Default Category/Shop by Category/Fruits and Vegetables,"base,mailpacshopclub",Pineapple,1,2427.32,,,,"Local product, pineapple is a sweet and sour fruit at the same time, it is easy to digest and is considered a diuretic fruit. It is very low in calories, rich in vitamins, mainly vitamin C, and rich in minerals such as potassium. It is ideal for consumption in its natural state, in jams, smoothies, desserts and much more.",Fruits and Vegetables,Pineapple-215254,Pineapple,Pineapple,Pineapple,W215254_1.jpg,W215254_1.jpg,W215254_1.jpg,W215254_1.jpg,"W215254_1.jpg,W215254_2.jpg,W215254_3.jpg","cost=2110.71,auto_service_parts=AIR FILTER,is_featured=0,webpos_visible=Yes","Catalog, Search",10000,10000,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,1,0,10000,10000
213588,Default,simple,Default Category/Shop by Category/Fruits and Vegetables,"base,mailpacshopclub",Orange 2.5 kg / 5.5 lb,1,803.85,,,,"National Product. | The orange is a round or slightly oval citrus fruit, with a thick skin and a bright orange color. Its flavor is sweet and sour at the same time and it is high in vitamin C and antioxidants. In addition to being consumed as fresh fruit, the orange is used in the preparation of juices, desserts, jams, salads and savory dishes. It is also used in the food and pharmaceutical industry, and its essential oil is used in aromatherapy and in the manufacture of perfumes and cleaning products.",Fruits and Vegetables,Orange 2.5 kg / 5.5 lb-213588,Orange 2.5 kg / 5.5 lb,Orange 2.5 kg / 5.5 lb,Orange 2.5 kg / 5.5 lb,W213588_1.jpg,W213588_1.jpg,W213588_1.jpg,W213588_1.jpg,"W213588_1.jpg,W213588_2.jpg,W213588_3.jpg","cost=699.0,auto_service_parts=AIR FILTER,is_featured=0,webpos_visible=Yes","Catalog, Search",10000,10000,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,1,0,10000,10000
352650,Default,simple,Default Category/Shop by Category/Grains and Pasta,"base,mailpacshopclub",Royal Rose White Rice 9 kg / 19 lb,1,1631.85,,,,This Jamaican packaged rice brings the perfect accompaniment to your recipes giving them a Caribbean touch if you want to evoke a warm day by the sea or any other dish that you can enjoy at any time. Prepare it and taste the flavor that will change the way you make your meals.,Grains and Pasta,Royal Rose White Rice 9 kg / 19 lb-352650,Royal Rose White Rice 9 kg / 19 lb,Royal Rose White Rice 9 kg / 19 lb,Royal Rose White Rice 9 kg / 19 lb,W352650_1.jpg,W352650_1.jpg,W352650_1.jpg,W352650_1.jpg,"W352650_1.jpg,W352650_2.jpg","cost=1419.0,auto_service_parts=AIR FILTER,is_featured=0,webpos_visible=Yes","Catalog, Search",10000,10000,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,1,0,10000,10000
237056,Default,simple,Default Category/Shop by Category/Coffee | Tea,"base,mailpacshopclub",Selection Iced Tea and Lemon Flavored Mix 3 kg / 6.6 lb,1,1298.35,,,,"Member's Selection lemon-flavored iced tea blend is simply irresistible. Forget about complicated preparations, with this 3 kg / 6.6 lb resealable bag, you'll have enough to enjoy at any time. Our blend offers a natural lemon flavor that will make you feel like you're in the summer sun with every sip.",Coffee | Tea,Selection Iced Tea and Lemon Flavored Mix 3 kg / 6.6 lb-237056,Selection Iced Tea and Lemon Flavored Mix 3 kg / 6.6 lb,Selection Iced Tea and Lemon Flavored Mix 3 kg / 6.6 lb,Selection Iced Tea and Lemon Flavored Mix 3 kg / 6.6 lb,W237056_1.jpg,W237056_1.jpg,W237056_1.jpg,W237056_1.jpg,"W237056_1.jpg,W237056_2.jpg,W237056_3.jpg,W237056_4.jpg","cost=1129.0,auto_service_parts=AIR FILTER,is_featured=0,webpos_visible=Yes","Catalog, Search",10000,10000,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,1,0,10000,10000
33,Default,simple,Default Category/Shop by Category/Coffee | Tea,"base,mailpacshopclub",Lipton Yellow Label Black Tea Sachets 312 Units / 750 g,1,2448.35,,,,"With 312 units in each box, this black tea is the perfect choice to add a special touch to your meals or enjoy at any time of the day. What makes Lipton black tea unique is its commitment to quality. We use only the finest tea leaves from around the world, and expertly blend them to create a naturally flavored and refreshing beverage. In addition, our tea bags are carefully packaged in three individual cartons to ensure that each one retains its unrivaled freshness and aroma.",Coffee | Tea,Lipton Yellow Label Black Tea Sachets 312 Units / 750 g-33,Lipton Yellow Label Black Tea Sachets 312 Units / 750 g,Lipton Yellow Label Black Tea Sachets 312 Units / 750 g,Lipton Yellow Label Black Tea Sachets 312 Units / 750 g,W33_1.jpg,W33_1.jpg,W33_1.jpg,W33_1.jpg,"W33_1.jpg,W33_2.jpg,W33_3.jpg,W33_4.jpg,W33_5.jpg","cost=2129.0,auto_service_parts=AIR FILTER,is_featured=0,webpos_visible=Yes","Catalog, Search",10000,10000,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,1,0,10000,10000
192957,Default,simple,Default Category/Shop by Category/Dairy and Eggs,"base,mailpacshopclub",Philadelphia Cream Cheese 6 Units / 227 g / 8 oz,1,2298.85,,,,"This spreadable cheese is creamy and perfect for breakfast or snacks. It brings a smooth texture to your recipes, improving their flavor and consistency, it is ideal for cooking delicious sweet or savory dishes and delighting the ones you love the most. It is a kosher product. It is ready to accompany your favorite bagels and desserts. Philadelphia goes with everything.",Dairy and Eggs,Philadelphia Cream Cheese 6 Units / 227 g / 8 oz-192957,Philadelphia Cream Cheese 6 Units / 227 g / 8 oz,Philadelphia Cream Cheese 6 Units / 227 g / 8 oz,Philadelphia Cream Cheese 6 Units / 227 g / 8 oz,W192957_1.jpg,W192957_1.jpg,W192957_1.jpg,W192957_1.jpg,"W192957_1.jpg,W192957_2.jpg,W192957_3.jpg,W192957_4.jpg,W192957_5.jpg","cost=1999.0,auto_service_parts=AIR FILTER,is_featured=0,webpos_visible=Yes","Catalog, Search",10000,10000,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,1,0,10000,10000
431359,Default,simple,Default Category/Shop by Category/Grains and Pasta,"base,mailpacshopclub",Garofalo Organic Penne Rigate 4 Units / 500 g / 1.1 lb,1,1666.35,,,,The Garofalo Organic Penne Rigate is just as versatile and suited for any kind of condiment. They are the result of a careful selection of organic durum wheat semolina. The Italian recipe guarantees the pleasure of a healthy plate of pasta full of personality.,Grains and Pasta,Garofalo Organic Penne Rigate 4 Units / 500 g / 1.1 lb-431359,Garofalo Organic Penne Rigate 4 Units / 500 g / 1.1 lb,Garofalo Organic Penne Rigate 4 Units / 500 g / 1.1 lb,Garofalo Organic Penne Rigate 4 Units / 500 g / 1.1 lb,W431359_1.jpg,W431359_1.jpg,W431359_1.jpg,W431359_1.jpg,"W431359_1.jpg,W431359_2.jpg,W431359_3.jpg,W431359_4.jpg,W431359_5.jpg","cost=1449.0,auto_service_parts=AIR FILTER,is_featured=0,webpos_visible=Yes","Catalog, Search",0,0,0,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0
125985,Default,simple,Default Category/Shop by Category/Coffee | Tea,"base,mailpacshopclub",Nescafe Classic Instant Coffee 100% Soluble 200 g / 7 oz,1,1597.35,,,,"In the lively and seductive universe of coffee, Nescafé Café Clásico is a magical and pleasurable experience, awaits in every cup, where the dark and distinguished roast delights your senses with its intoxicating aroma. This coffee, strong and daring, becomes the perfect accomplice to face the day with energy and determination. Prepare to be captivated! The incomparable flavor and aroma of Nescafé Classic invite you to wake up in the best way, giving you an exquisite pleasure that awakens all your senses.",Coffee | Tea,Nescafe Classic Instant Coffee 100% Soluble 200 g / 7 oz-125985,Nescafe Classic Instant Coffee 100% Soluble 200 g / 7 oz,Nescafe Classic Instant Coffee 100% Soluble 200 g / 7 oz,Nescafe Classic Instant Coffee 100% Soluble 200 g / 7 oz,W125985_1.jpg,W125985_1.jpg,W125985_1.jpg,W125985_1.jpg,"W125985_1.jpg,W125985_2.jpg,W125985_3.jpg,W125985_4.jpg,W125985_5.jpg","cost=1389.0,auto_service_parts=AIR FILTER,is_featured=0,webpos_visible=Yes","Catalog, Search",10000,10000,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,1,0,10000,10000
29045,Default,simple,Default Category/Shop by Category/Dairy and Eggs,"base,mailpacshopclub",Selection Sliced Swiss Cheese 907 g / 2 lb,1,1884.85,,,,"Imported product | Contains 42 slices. Never a boring sandwich again with Member's Selection new sliced cheese options! You have 5 different flavors to bring excitement and flavor to your creations. No matter what your favorite cheese is, you'll find the best and freshest here.",Dairy and Eggs,Selection Sliced Swiss Cheese 907 g / 2 lb-29045,Selection Sliced Swiss Cheese 907 g / 2 lb,Selection Sliced Swiss Cheese 907 g / 2 lb,Selection Sliced Swiss Cheese 907 g / 2 lb,W29045_1.jpg,W29045_1.jpg,W29045_1.jpg,W29045_1.jpg,"W29045_1.jpg,W29045_2.jpg,W29045_3.jpg,W29045_4.jpg","cost=1639.0,auto_service_parts=AIR FILTER,is_featured=0,webpos_visible=Yes","Catalog, Search",10000,10000,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,1,0,10000,10000
23789,Default,simple,Default Category/Shop by Category/Dairy and Eggs,"base,mailpacshopclub",Selection Unsweetened Vanilla Almond Beverage 6 Units / 946 mL / 32 oz,1,2344.85,,,,"This almond beverage is an unsweetened vegan milk substitute with a delicious vanilla flavor. You can enjoy this vegetable alternative that is perfect on its own, accompanying your cereal or preparing your smoothies. Enriched with calcium and vitamins D and E, soy-free, lactose-free, gluten-free, and sweetener-free.",Dairy and Eggs,Selection Unsweetened Vanilla Almond Beverage 6 Units / 946 mL / 32 oz-23789,Selection Unsweetened Vanilla Almond Beverage 6 Units / 946 mL / 32 oz,Selection Unsweetened Vanilla Almond Beverage 6 Units / 946 mL / 32 oz,Selection Unsweetened Vanilla Almond Beverage 6 Units / 946 mL / 32 oz,W23789_1.jpg,W23789_1.jpg,W23789_1.jpg,W23789_1.jpg,"W23789_1.jpg,W23789_2.jpg,W23789_3.jpg,W23789_4.jpg,W23789_5.jpg","cost=2039.0,auto_service_parts=AIR FILTER,is_featured=0,webpos_visible=Yes","Catalog, Search",10000,10000,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,1,0,10000,10000
